,Topic,Count,Name,-1,0,1,2,3,4
0,-1.0,118.0,-1_coastal_level_risk_sea,"('coastal', 0.0506600380970347)","('community', 0.06092365748589776)","('level', 0.05841043011155477)","('community', 0.0604803730323607)","('planning', 0.046651226186839194)","('vulnerability', 0.12106839811412101)"
1,0.0,34.0,0_community_coastal_ecosystem_impact,"('level', 0.030486280477899884)","('coastal', 0.05224232298971248)","('coastal', 0.05749968572104767)","('hurricane', 0.05457925468999925)","('project', 0.042904842420566816)","('coastal', 0.07932409988413625)"
2,1.0,19.0,1_level_coastal_sea_rise,"('risk', 0.02842421775729138)","('ecosystem', 0.04478068453655857)","('sea', 0.05534584685312987)","('resilience', 0.05039885056726444)","('coastal', 0.041082978168264325)","('area', 0.03699404598201278)"
3,2.0,18.0,2_community_hurricane_resilience_risk,"('sea', 0.02770399273687559)","('impact', 0.03289337908316288)","('rise', 0.0492746736631885)","('risk', 0.04380009177301186)","('stakeholder', 0.03645587963122629)","('zone', 0.03408411213913418)"
4,3.0,17.0,3_planning_project_coastal_stakeholder,"('policy', 0.02634084945208369)","('social', 0.03269555021472416)","('model', 0.04495879019201177)","('disaster', 0.042452550116411664)","('local', 0.03423923973651145)","('erosion', 0.03370696163172955)"
5,4.0,15.0,4_vulnerability_coastal_area_zone,"('impact', 0.023701498186709816)","('management', 0.02755326288626748)","('risk', 0.03824274466114515)","('storm', 0.034170148874067684)","('level', 0.031820934444516856)","('multi', 0.03184265986523446)"
6,,,,"('planning', 0.022681584390553258)","('coral', 0.025796684763965426)","('future', 0.03352172882781573)","('cyclone', 0.030491245046195718)","('community', 0.030804832400227123)","('level', 0.03137268392404455)"
7,,,,"('rise', 0.021485953802884476)","('natural', 0.024811111443360526)","('data', 0.028022835154748484)","('flood', 0.02992470730370818)","('challenge', 0.0307008104920005)","('risk', 0.031121920435729717)"
8,,,,"('community', 0.019366371736494872)","('ocean', 0.024710877039250664)","('approach', 0.02626002320515216)","('hazard', 0.029397166319576715)","('decision', 0.028854989899444017)","('hazard', 0.029591331854540465)"
9,,,,"('area', 0.018591973884991262)","('based', 0.02421772932479888)","('scenario', 0.025586368111158893)","('impact', 0.029003281973681547)","('information', 0.02683149574529237)","('sea', 0.027300005881045357)"
