,Topic,Count,Name,-1,0,1,2,3,4
0,-1.0,114.0,-1_flood_risk_urban_area,"('flood', 0.04105699106583441)","('coastal', 0.07036290848675308)","('community', 0.04521841768288451)","('water', 0.0911779230393561)","('flood', 0.12695187356063273)","('city', 0.10987336431231898)"
1,0.0,69.0,0_coastal_sea_level_rise,"('risk', 0.03030215075719646)","('sea', 0.05088101197031518)","('disaster', 0.04297400685347715)","('urban', 0.05312977684682346)","('risk', 0.08275226924324275)","('urban', 0.08396367352632794)"
2,1.0,38.0,1_community_disaster_household_vulnerability,"('urban', 0.0281422762288678)","('level', 0.043846411575831586)","('household', 0.031193273213852717)","('city', 0.038570800129276314)","('damage', 0.045554869597453834)","('flood', 0.058458899227983786)"
3,2.0,35.0,2_water_urban_city_management,"('area', 0.022931242005692104)","('rise', 0.029587263561852248)","('vulnerability', 0.028725250021700798)","('management', 0.03534885805287882)","('insurance', 0.03378856877150948)","('service', 0.04474983344327756)"
4,3.0,33.0,3_flood_risk_damage_insurance,"('community', 0.022157663729672525)","('storm', 0.02759461050948744)","('health', 0.028067485340193935)","('flood', 0.03370786222315395)","('measure', 0.031668204337974945)","('governance', 0.043628571593320786)"
5,4.0,10.0,4_city_urban_flood_service,"('flooding', 0.020837699143907276)","('erosion', 0.02605630775447263)","('local', 0.026009382465416727)","('system', 0.02882444658482087)","('flooding', 0.029997565488344344)","('risk', 0.03929447385380258)"
6,,,,"('coastal', 0.020669624910832515)","('model', 0.023455966159798163)","('event', 0.025229606954991646)","('impact', 0.028115075622131794)","('area', 0.02762739031756716)","('rural', 0.03878095252739626)"
7,,,,"('strategy', 0.018923852358923236)","('beach', 0.0221055245915796)","('related', 0.023987567955034133)","('flooding', 0.02807914585052598)","('event', 0.024016310164012986)","('infrastructure', 0.03686600721534553)"
8,,,,"('impact', 0.01845947049032483)","('flooding', 0.02120835988287715)","('impact', 0.0236502272957908)","('stormwater', 0.027018131461666813)","('perception', 0.022137338160644143)","('management', 0.0353681808665483)"
9,,,,"('vulnerability', 0.018351085404128917)","('coast', 0.020848031152360887)","('response', 0.02243998292567709)","('rainfall', 0.025598830950535962)","('result', 0.022044651896489912)","('water', 0.03504304577762545)"
