,Topic,Count,Name,-1,0,1,2,3
0,-1.0,26.0,-1_temperature_breadth_urban_thermal,"('temperature', 0.04241328318569155)","('energy', 0.07410337602907688)","('temperature', 0.03724413362363073)","('urban', 0.07688098120178886)","('policy', 0.04915773189382361)"
1,0.0,44.0,0_energy_building_consumption_design,"('breadth', 0.0393669893425362)","('building', 0.07030200615647025)","('trend', 0.03713725594619218)","('heat', 0.06537573829030992)","('emission', 0.04534013092500276)"
2,1.0,34.0,1_temperature_trend_water_forest,"('urban', 0.0357343221528878)","('consumption', 0.031552461611226594)","('water', 0.03072137658327652)","('tree', 0.047159253003481005)","('city', 0.04398069476910932)"
3,2.0,29.0,2_urban_heat_tree_cooling,"('thermal', 0.03401013987953547)","('design', 0.030794409525781608)","('forest', 0.028478122417323205)","('cooling', 0.0456486352213041)","('mitigation', 0.04049653244982055)"
4,3.0,19.0,3_policy_emission_city_mitigation,"('risk', 0.03274414146505434)","('thermal', 0.02813693190855843)","('region', 0.025694754671691716)","('temperature', 0.04556645546479879)","('effort', 0.03957348029577387)"
5,,,,"('degree', 0.028529430818769998)","('performance', 0.027036454908916412)","('zone', 0.024490129471843113)","('city', 0.04180781810454883)","('global', 0.0342102123431331)"
6,,,,"('ccu', 0.025421635276992392)","('heating', 0.025122165052465697)","('land', 0.02419978950568361)","('area', 0.038406076740816836)","('srm', 0.03283084559213335)"
7,,,,"('hoar', 0.025421635276992392)","('system', 0.024460186689615592)","('change', 0.02401945709959712)","('effect', 0.03200479620717337)","('park', 0.03131204299010313)"
8,,,,"('sweden', 0.025014586265838024)","('solar', 0.023360480207248555)","('level', 0.023468280813364734)","('cover', 0.03014545602063108)","('benefit', 0.028702706074261203)"
9,,,,"('result', 0.024860559824865392)","('air', 0.02228394912306819)","('effect', 0.02298214053274338)","('mortality', 0.027234945495453064)","('level', 0.028067700096430278)"
