,Topic,Count,Name,-1,0,1
0,-1.0,32.0,-1_forest_policy_management_vulnerability,"('forest', 0.07712686317056436)","('forest', 0.0977386330231242)","('community', 0.0676512876561417)"
1,0.0,32.0,0_forest_management_ecosystem_knowledge,"('policy', 0.05724011732506372)","('management', 0.06910898832105718)","('inuit', 0.06090019812609079)"
2,1.0,13.0,1_community_inuit_ecological_knowledge,"('management', 0.04034026364925473)","('ecosystem', 0.05233713776786007)","('ecological', 0.0509980391382304)"
3,,,,"('vulnerability', 0.037327012235293014)","('knowledge', 0.04131125094482829)","('knowledge', 0.04476941599271639)"
4,,,,"('decision', 0.03204666609891955)","('risk', 0.040030922507587156)","('indigenous', 0.04108695963956856)"
5,,,,"('level', 0.031187013225360098)","('based', 0.031339337241360045)","('meteorology', 0.03904819933639985)"
6,,,,"('assessment', 0.031187013225360098)","('system', 0.03001638986524344)","('monitoring', 0.03770012264948478)"
7,,,,"('sector', 0.030538392696643865)","('service', 0.027612333541019413)","('environmental', 0.03573348522798886)"
8,,,,"('impact', 0.03015164531899244)","('ecological', 0.027160758942512037)","('arctic', 0.03360691867972318)"
9,,,,"('national', 0.025088367002086602)","('resilience', 0.026739624526022004)","('system', 0.03330356350580004)"
