,Topic,Count,Name,-1,0,1
0,-1.0,12.0,-1_system_energy_solar_glazing,"('system', 0.0679557076239273)","('building', 0.07374067430100076)","('energy', 0.06195668722493148)"
1,0.0,39.0,0_building_design_facade_energy,"('energy', 0.05957603254438952)","('design', 0.04895423787196416)","('emission', 0.05879452902286144)"
2,1.0,17.0,1_energy_emission_system_economic,"('solar', 0.050492652516635594)","('facade', 0.04544327954607376)","('system', 0.05096481751234023)"
3,,,,"('glazing', 0.04235106490980895)","('energy', 0.0405878585823686)","('economic', 0.042625958276476014)"
4,,,,"('smart', 0.04001560587111682)","('thermal', 0.037886009852810265)","('environmental', 0.039520871945388523)"
5,,,,"('rooftop', 0.03950218904356598)","('result', 0.02879621189243743)","('cost', 0.038037679984023555)"
6,,,,"('window', 0.03816333367949289)","('system', 0.026566062794845198)","('impact', 0.03689670654772632)"
7,,,,"('control', 0.03670285251235014)","('performance', 0.026191981799660556)","('renewable', 0.036825329138139275)"
8,,,,"('stpv', 0.03583669396952927)","('adaptive', 0.025769585615068157)","('future', 0.028130537077012522)"
9,,,,"('glass', 0.03334686814887498)","('based', 0.023071735587859174)","('carbon', 0.027527131824202317)"
