,Topic,Count,Name,-1
0,-1.0,37.0,-1_flood_risk_resilience_model,"('flood', 0.13068863665423464)"
1,,,,"('risk', 0.09368219415131758)"
2,,,,"('resilience', 0.044003343241719214)"
3,,,,"('model', 0.03929339779872098)"
4,,,,"('management', 0.03604942112371334)"
5,,,,"('community', 0.034392723253906236)"
6,,,,"('based', 0.03271100335722487)"
7,,,,"('future', 0.03271100335722487)"
8,,,,"('water', 0.031860256390110635)"
9,,,,"('approach', 0.031860256390110635)"
