,Topic,Count,Name,-1,0,1
0,-1.0,58.0,-1_water_management_system_ecosystem,"('water', 0.08590016513298393)","('model', 0.09661978081290853)","('water', 0.09591836386367085)"
1,0.0,12.0,0_model_water_hydrological_management,"('management', 0.03453101580117349)","('water', 0.0760428681810259)","('policy', 0.0568274431688552)"
2,1.0,11.0,1_water_policy_management_basin,"('system', 0.034173358749652986)","('hydrological', 0.06267425839513299)","('management', 0.054058203790424565)"
3,,,,"('ecosystem', 0.028288148899361588)","('management', 0.044897455048922466)","('basin', 0.04844775767225568)"
4,,,,"('impact', 0.027694684341200898)","('reservoir', 0.04126202866357077)","('governance', 0.04222555359087922)"
5,,,,"('development', 0.027614621544614883)","('scale', 0.04080172418378446)","('risk', 0.03937732156495137)"
6,,,,"('resource', 0.026849086865949345)","('catchment', 0.03201100311848224)","('protection', 0.038016437497812625)"
7,,,,"('approach', 0.026674560208936913)","('demand', 0.03166543913179315)","('learning', 0.03431820704622708)"
8,,,,"('river', 0.02506789113359149)","('analysis', 0.030672349385769987)","('allocation', 0.03431820704622708)"
9,,,,"('policy', 0.02382183300165899)","('sustainability', 0.029119038416395626)","('decision', 0.03226955360899553)"
