,Topic,Count,Name,-1
0,-1.0,29.0,-1_local_policy_use_case,"('local', 0.043570124148180116)"
1,,,,"('policy', 0.041178184884173755)"
2,,,,"('use', 0.03370617156991016)"
3,,,,"('case', 0.03370617156991016)"
4,,,,"('planning', 0.03241183208556608)"
5,,,,"('stakeholder', 0.03241183208556608)"
6,,,,"('impact', 0.03241183208556608)"
7,,,,"('land', 0.031101663774306013)"
8,,,,"('index', 0.031101663774306013)"
9,,,,"('swedish', 0.029774822165750846)"
