,Topic,Count,Name,-1,0,1
0,-1.0,21.0,-1_model_concrete_design_environmental,"('model', 0.03853617337086221)","('risk', 0.047891257124122254)","('energy', 0.09097702687434989)"
1,0.0,89.0,0_risk_impact_extreme_event,"('concrete', 0.034222195727724364)","('impact', 0.038705762800245735)","('building', 0.0647734511999014)"
2,1.0,12.0,1_energy_building_mitigation_heat,"('design', 0.03255308466592092)","('extreme', 0.03639861038081612)","('mitigation', 0.05840135650003662)"
3,,,,"('environmental', 0.03210475460138657)","('event', 0.03457326448049466)","('heat', 0.05442882547418832)"
4,,,,"('may', 0.028345360186463855)","('weather', 0.03142927244743405)","('future', 0.05127772655358413)"
5,,,,"('building', 0.02608511311362659)","('future', 0.027486664470600587)","('model', 0.04454177613033401)"
6,,,,"('policy', 0.02594770980618837)","('planning', 0.02480714289566927)","('demand', 0.04287702003114311)"
7,,,,"('corrosion', 0.025851689376102615)","('system', 0.023373658038454922)","('cooling', 0.04069013566523105)"
8,,,,"('influence', 0.025485236332023233)","('infrastructure', 0.022636359343321324)","('however', 0.03504081390002197)"
9,,,,"('pavement', 0.025452946558693658)","('health', 0.022061950045110326)","('power', 0.03486992950294342)"
