,Topic,Count,Name,-1,0,1
0,-1.0,44.0,-1_risk_disaster_urban_impact,"('risk', 0.05168882238028603)","('urban', 0.07710570763288906)","('risk', 0.0715148299610614)"
1,0.0,25.0,0_urban_heat_effect_health,"('disaster', 0.03375514042648087)","('heat', 0.07095344130690094)","('surge', 0.055908413936720955)"
2,1.0,13.0,1_risk_surge_storm_vulnerability,"('urban', 0.029397196163114862)","('effect', 0.037946889706783504)","('storm', 0.050401494898751814)"
3,,,,"('impact', 0.028362391478127844)","('health', 0.03572935451976521)","('vulnerability', 0.043544569085012294)"
4,,,,"('development', 0.028117216715221063)","('risk', 0.031243451730073014)","('data', 0.04194346035346228)"
5,,,,"('level', 0.024951526335829786)","('temperature', 0.029643548558899644)","('level', 0.040525885975454604)"
6,,,,"('global', 0.02461188193960246)","('area', 0.029413752148760654)","('approach', 0.03681128253864395)"
7,,,,"('flood', 0.024588590151217164)","('building', 0.02894551128934195)","('coastal', 0.034275842919644334)"
8,,,,"('vulnerability', 0.023746097460429095)","('environment', 0.028659588031107498)","('index', 0.03396133431856923)"
9,,,,"('resilience', 0.0228290143559321)","('island', 0.027476204218331263)","('country', 0.03372511528692428)"
