,Topic,Count,Name,-1,0,1,2,3
0,-1.0,26.0,-1_energy_carbon_extreme_impact,"('energy', 0.03766054758555509)","('heat', 0.06409018579308805)","('energy', 0.08930206335421133)","('water', 0.07981098282178666)","('ocean', 0.12701097145977047)"
1,0.0,100.0,0_heat_urban_temperature_city,"('carbon', 0.035808960824884474)","('urban', 0.061347163674016894)","('building', 0.08508097575703687)","('crop', 0.056531801653773396)","('arctic', 0.07733071237358298)"
2,1.0,22.0,1_energy_building_demand_residential,"('extreme', 0.033984348446752716)","('temperature', 0.046319889055632335)","('demand', 0.045867701606331975)","('yield', 0.05023659563046558)","('global', 0.06601898976983768)"
3,2.0,16.0,2_water_crop_yield_food,"('impact', 0.030248350163291925)","('city', 0.03866088939589789)","('residential', 0.0415162585620022)","('food', 0.04743356058402726)","('warming', 0.06280393221806795)"
4,3.0,13.0,3_ocean_arctic_global_warming,"('household', 0.029371179304054338)","('effect', 0.028627718640737165)","('cooling', 0.0409152457482135)","('production', 0.044282943601984086)","('coral', 0.06082093150254448)"
5,,,,"('area', 0.029084952080088388)","('extreme', 0.020424981313237205)","('consumption', 0.0381416902097819)","('daf', 0.04200896088096642)","('emission', 0.060604561162741634)"
6,,,,"('model', 0.028580609639035855)","('health', 0.02034357686356117)","('electricity', 0.035935427812240996)","('maize', 0.03248555765829245)","('carbon', 0.05270193969574107)"
7,,,,"('high', 0.02617193088383522)","('area', 0.019983377090778992)","('future', 0.034253498560032465)","('system', 0.030049408592541356)","('dune', 0.04922428449291188)"
8,,,,"('increase', 0.024842794756301214)","('land', 0.019614549558381548)","('air', 0.03371592244144983)","('global', 0.029816078795361047)","('increase', 0.047138370020451126)"
9,,,,"('income', 0.023042720864803735)","('surface', 0.019282099565866608)","('indoor', 0.028776554861151625)","('root', 0.029532325143902225)","('sea', 0.04393379187660341)"
