,Topic,Count,Name,-1,0,1,2,3,4
0,-1.0,88.0,-1_water_drought_impact_river,"('water', 0.04282803180429562)","('risk', 0.02423347081910993)","('water', 0.11403492422355407)","('drought', 0.12353318118235714)","('ecosystem', 0.04828204344746126)","('forest', 0.13129413615350666)"
1,0.0,117.0,0_risk_drought_flood_coastal,"('drought', 0.024341535303635982)","('drought', 0.02409784353205488)","('resource', 0.033943915251312524)","('rainfall', 0.055444675704468774)","('wetland', 0.04648774491079879)","('fire', 0.11436614053856393)"
2,1.0,57.0,1_water_resource_groundwater_system,"('impact', 0.02410700241653366)","('flood', 0.023931134206925636)","('groundwater', 0.02802031543367465)","('index', 0.05421485905834778)","('river', 0.042603159086677285)","('wildfire', 0.0541494095377332)"
3,2.0,30.0,2_drought_rainfall_index_precipitation,"('river', 0.020586507614561763)","('coastal', 0.02281843506812553)","('system', 0.025744019346735526)","('precipitation', 0.033886313491160884)","('change', 0.03522383420307331)","('te', 0.049003584257668334)"
4,3.0,21.0,3_ecosystem_wetland_river_change,"('land', 0.02002663578732302)","('community', 0.022541659426816026)","('management', 0.02558152594059889)","('moisture', 0.026004680943181525)","('service', 0.0313824305495262)","('ecosystem', 0.04072901090815544)"
5,4.0,16.0,4_forest_fire_wildfire_te,"('basin', 0.018891558373447644)","('impact', 0.021386083987693597)","('use', 0.021871424235542666)","('trend', 0.025702100579802926)","('impact', 0.030931004740375603)","('management', 0.03529215425502855)"
6,,,,"('management', 0.01837841846900408)","('crop', 0.020047889363466617)","('demand', 0.02101186075252005)","('region', 0.025242747943183295)","('lake', 0.030686447166725014)","('hazard', 0.03404678890066552)"
7,,,,"('result', 0.017271286752742462)","('vulnerability', 0.019849111654128802)","('area', 0.02099129066845498)","('water', 0.024660646620233914)","('environmental', 0.030037216362858513)","('cent', 0.02742157852669693)"
8,,,,"('region', 0.01701528373547493)","('development', 0.018921721136879992)","('impact', 0.020743295281212867)","('area', 0.024520795983158598)","('water', 0.029681187993623404)","('condition', 0.026411954490513926)"
9,,,,"('future', 0.016846883596587075)","('strategy', 0.01855984908438673)","('city', 0.019164895651927517)","('change', 0.02403053616874047)","('freshwater', 0.029664877424714412)","('debate', 0.024392814335165047)"
