,Topic,Count,Name,-1
0,-1.0,26.0,-1_gender_woman_social_policy,"('gender', 0.09696077532538958)"
1,,,,"('woman', 0.0681075115155454)"
2,,,,"('social', 0.05379688923404699)"
3,,,,"('policy', 0.04495828027597201)"
4,,,,"('community', 0.0367067003338059)"
5,,,,"('local', 0.03298720506714395)"
6,,,,"('knowledge', 0.0317189139199743)"
7,,,,"('group', 0.030435208538140874)"
8,,,,"('development', 0.030435208538140874)"
9,,,,"('risk', 0.02913526684260434)"
