,Topic,Count,Name,-1,0,1,2,3,4
0,-1.0,52.0,-1_water_river_lake_change,"('water', 0.06455346325542183)","('model', 0.05446299029013906)","('water', 0.09363174934132341)","('fishery', 0.081534579497385)","('water', 0.07034885433243947)","('marsh', 0.05296898408658063)"
1,0.0,74.0,0_model_hydrological_water_future,"('river', 0.031294353408428795)","('hydrological', 0.03191306910374222)","('scenario', 0.03605737766226325)","('fish', 0.04478136402204485)","('policy', 0.036554062308514663)","('mangrove', 0.047327598701086535)"
2,1.0,35.0,1_water_scenario_irrigation_groundwater,"('lake', 0.024040581130888618)","('water', 0.029647061706420806)","('irrigation', 0.034020490881878036)","('fishing', 0.034258920247531216)","('case', 0.03285362741623116)","('ecosystem', 0.03831644902828775)"
3,2.0,30.0,2_fishery_fish_fishing_salmon,"('change', 0.021358860242399504)","('future', 0.029162174956533456)","('groundwater', 0.03207657919011935)","('salmon', 0.031541632187915516)","('management', 0.029655537553321117)","('wetland', 0.03601890917887483)"
4,3.0,29.0,3_water_policy_case_management,"('system', 0.02132520331155681)","('precipitation', 0.024982015751332073)","('resource', 0.02459554134864244)","('catch', 0.028271921969645186)","('study', 0.024338008721469823)","('restoration', 0.03550921126368156)"
5,4.0,16.0,4_marsh_mangrove_ecosystem_wetland,"('flood', 0.021130654011472735)","('runoff', 0.024418903658057732)","('supply', 0.023917220176375695)","('vulnerability', 0.027973641544666524)","('approach', 0.024218926659324954)","('coastal', 0.03245231884548529)"
6,,,,"('storage', 0.020611086866668953)","('river', 0.024253357850514138)","('demand', 0.02388193719078574)","('effect', 0.027741960392441083)","('local', 0.02415212942826487)","('coastline', 0.032451899592444)"
7,,,,"('model', 0.019981797655887857)","('flow', 0.023999070386305905)","('use', 0.022567319471239015)","('production', 0.025152916218594026)","('risk', 0.024088043086114046)","('year', 0.03141090875628291)"
8,,,,"('impact', 0.019562659483534223)","('period', 0.023474430784722878)","('cost', 0.022024678108885944)","('management', 0.02471836153130052)","('flood', 0.023857519246266473)","('nutrient', 0.03091422461997272)"
9,,,,"('level', 0.01922297421815955)","('using', 0.022275469865599508)","('area', 0.021149804664086898)","('strategy', 0.024051236005800322)","('stakeholder', 0.02322985324592602)","('site', 0.03082008248826924)"
