,Topic,Count,Name,-1
0,-1.0,15.0,-1_farmer_risk_community_knowledge,"('farmer', 0.07790216310304657)"
1,,,,"('risk', 0.058446005668363867)"
2,,,,"('community', 0.05073764469504385)"
3,,,,"('knowledge', 0.0487447618707625)"
4,,,,"('agricultural', 0.04258477863199709)"
5,,,,"('crop', 0.03830782733944504)"
6,,,,"('resilience', 0.03611112662402858)"
7,,,,"('local', 0.03611112662402858)"
8,,,,"('system', 0.03611112662402858)"
9,,,,"('agriculture', 0.03387160268635635)"
