,Topic,Count,Name,-1
0,-1.0,14.0,-1_vulnerability_level_community_social,"('vulnerability', 0.06340323968357049)"
1,,,,"('level', 0.05655791167906167)"
2,,,,"('community', 0.054797891853082197)"
3,,,,"('social', 0.05301676122653347)"
4,,,,"('local', 0.04566094873355972)"
5,,,,"('actor', 0.04182719459525484)"
6,,,,"('policy', 0.04182719459525484)"
7,,,,"('capacity', 0.037873118240395645)"
8,,,,"('power', 0.03584600358992192)"
9,,,,"('regional', 0.03378230419063057)"
