,Topic,Count,Name,-1
0,-1.0,19.0,-1_risk_vulnerability_development_need,"('risk', 0.06749412819479583)"
1,,,,"('vulnerability', 0.058691382707825736)"
2,,,,"('development', 0.05095306146367424)"
3,,,,"('need', 0.04935477262180033)"
4,,,,"('framework', 0.047737970161527844)"
5,,,,"('capacity', 0.047737970161527844)"
6,,,,"('disaster', 0.04276786782033777)"
7,,,,"('information', 0.03934459336721232)"
8,,,,"('system', 0.03934459336721232)"
9,,,,"('approach', 0.0375963845772909)"
