,Topic,Count,Name,-1,0,1,2,3
0,-1.0,67.0,-1_policy_health_risk_water,"('policy', 0.03996671082025389)","('risk', 0.036389826377868924)","('policy', 0.057822163577245046)","('decision', 0.08466656137665184)","('individual', 0.07378346101660212)"
1,0.0,153.0,0_risk_policy_vulnerability_capacity,"('health', 0.037305280147506066)","('policy', 0.027521125933400285)","('energy', 0.0503048089556722)","('model', 0.06221481902567441)","('people', 0.06709016425314002)"
2,1.0,26.0,1_policy_energy_environmental_mitigation,"('risk', 0.028069305352535514)","('vulnerability', 0.02715644125391444)","('environmental', 0.0498332756878049)","('uncertainty', 0.05626491601069807)","('risk', 0.052958344581384736)"
3,2.0,24.0,2_decision_model_uncertainty_making,"('water', 0.026724831838394515)","('capacity', 0.023122948180376173)","('mitigation', 0.04400918180688204)","('making', 0.035389503706641734)","('policy', 0.05124623449667639)"
4,3.0,10.0,3_individual_people_risk_policy,"('impact', 0.025863506896511245)","('social', 0.02227516203168885)","('impact', 0.03900889259599428)","('analysis', 0.03404081549519081)","('perception', 0.04887828381879758)"
5,,,,"('mitigation', 0.02541889827383719)","('development', 0.020480317000936454)","('emission', 0.03722124851992856)","('ensemble', 0.03163748360759577)","('resident', 0.04690123633267954)"
6,,,,"('uncertainty', 0.023830217131722366)","('approach', 0.020321197894296185)","('cost', 0.036320606431462406)","('future', 0.030641842009987364)","('may', 0.046036479199216794)"
7,,,,"('development', 0.023005254362721845)","('community', 0.019948324865908553)","('country', 0.03561265959317478)","('option', 0.030628259057013517)","('behaviour', 0.04541705767027134)"
8,,,,"('strategy', 0.021542704128674785)","('planning', 0.01922961792682713)","('may', 0.02846924807942587)","('projection', 0.02923691697744859)","('psychological', 0.04329041134263526)"
9,,,,"('future', 0.02119727425730066)","('impact', 0.018789687085834512)","('economic', 0.0261193539653372)","('value', 0.028633397132455957)","('cultural', 0.04188406055526675)"
