,Topic,Count,Name,-1,0,1,2,3
0,-1.0,117.0,-1_farmer_agricultural_strategy_household,"('farmer', 0.04835366874171792)","('farmer', 0.0532348505000457)","('farmer', 0.0927971162714236)","('woman', 0.060318438901581284)","('community', 0.057149447677945574)"
1,0.0,71.0,0_farmer_food_household_strategy,"('agricultural', 0.03304340619906426)","('food', 0.04847593816991941)","('perception', 0.050907952080601705)","('livelihood', 0.05643256914334837)","('forest', 0.048597514523716925)"
2,1.0,41.0,1_farmer_perception_risk_decision,"('strategy', 0.028461717293983255)","('household', 0.036614314430869335)","('risk', 0.04008849743803621)","('household', 0.053990152526658446)","('land', 0.04233246772939587)"
3,2.0,36.0,2_woman_livelihood_household_gender,"('household', 0.026700914891404505)","('strategy', 0.0345807540508812)","('decision', 0.02998519941710728)","('gender', 0.041534056048538014)","('knowledge', 0.03328154552088062)"
4,3.0,25.0,3_community_forest_land_knowledge,"('impact', 0.02447233133747692)","('crop', 0.03425995324065285)","('farm', 0.029955509835191973)","('farmer', 0.03625255932816209)","('resource', 0.03260412162131702)"
5,,,,"('risk', 0.021840318957774038)","('farm', 0.027796924871199263)","('knowledge', 0.02377741915754632)","('vulnerability', 0.03240220567920475)","('ecosystem', 0.029370804651887995)"
6,,,,"('policy', 0.021839399448942337)","('impact', 0.027093776289384742)","('result', 0.02368009557854918)","('strategy', 0.029992892964235573)","('management', 0.02837851733780906)"
7,,,,"('water', 0.02039011483132805)","('agricultural', 0.02522793467773221)","('weather', 0.023557447409912422)","('impact', 0.027840275862658)","('strategy', 0.028367116956262116)"
8,,,,"('crop', 0.020160692864070913)","('africa', 0.02516230161531381)","('service', 0.02306165448017961)","('group', 0.02394255500976363)","('local', 0.028332870496763193)"
9,,,,"('farm', 0.0195838087577486)","('security', 0.024240664541209135)","('practice', 0.022634485004566687)","('capital', 0.02191280295836022)","('indigenous', 0.024567762893136037)"
