,Topic,Count,Name,-1
0,-1.0,17.0,-1_australian_capacity_risk_local,"('australian', 0.059923204557005096)"
1,,,,"('capacity', 0.05806711531105273)"
2,,,,"('risk', 0.05618831667129636)"
3,,,,"('local', 0.05040504775644362)"
4,,,,"('planning', 0.048424277751202754)"
5,,,,"('government', 0.04437455067802351)"
6,,,,"('industry', 0.042302124239181074)"
7,,,,"('impact', 0.0380517964285673)"
8,,,,"('model', 0.03586888842948816)"
9,,,,"('adaptive', 0.03586888842948816)"
