,Topic,Count,Name,-1,0,1,2
0,-1.0,53.0,-1_city_urban_water_building,"('city', 0.03481005981425756)","('urban', 0.03475114357291409)","('urban', 0.0884857073324317)","('heat', 0.12140744274670819)"
1,0.0,33.0,0_urban_environmental_policy_green,"('urban', 0.03248163372861348)","('environmental', 0.03374425115846789)","('thermal', 0.06599398485271635)","('health', 0.07743391116594532)"
2,1.0,21.0,1_urban_thermal_effect_vegetation,"('water', 0.021650362362264263)","('policy', 0.03138992290227243)","('effect', 0.05433274953172474)","('housing', 0.045849689259646095)"
3,2.0,20.0,2_heat_health_housing_group,"('building', 0.021638979582033993)","('green', 0.029206790888784254)","('vegetation', 0.05204809355686059)","('group', 0.04333872221041749)"
4,,,,"('model', 0.021638877138037745)","('city', 0.027334055977220877)","('heat', 0.05052717274295241)","('risk', 0.03994010044742425)"
5,,,,"('energy', 0.02108008013977907)","('impact', 0.02623674474966148)","('cooling', 0.04453908114077947)","('data', 0.03502231569211911)"
6,,,,"('area', 0.020395949716940868)","('emission', 0.023500538198490364)","('space', 0.040210057384783976)","('related', 0.03253517603468856)"
7,,,,"('system', 0.019855543169924883)","('plan', 0.02287969506527798)","('area', 0.04003854981369924)","('exposure', 0.03177763345627822)"
8,,,,"('impact', 0.01968958457206261)","('carbon', 0.022143984747829096)","('environment', 0.039740796183537486)","('public', 0.0316192461875442)"
9,,,,"('heat', 0.017373781857603424)","('gi', 0.022117840762003946)","('green', 0.0361791740947382)","('strategy', 0.029455535197951663)"
