,Topic,Count,Name,-1,0,1
0,-1.0,8.0,-1_limit_io_dataset_activity,"('limit', 0.10675042548281355)","('policy', 0.03183225880137905)","('agreement', 0.1321084224922414)"
1,0.0,36.0,0_policy_strategy_risk_coastal,"('io', 0.10326195816278227)","('strategy', 0.02726501648332841)","('paris', 0.11644024510334533)"
2,1.0,14.0,1_agreement_paris_global_international,"('dataset', 0.07816059539980093)","('risk', 0.02706908540329795)","('global', 0.06581626768241676)"
3,,,,"('activity', 0.07375854154484449)","('coastal', 0.02661314030074951)","('international', 0.04954454691325627)"
4,,,,"('in', 0.05770364657689784)","('model', 0.02661314030074951)","('justice', 0.04832689176443912)"
5,,,,"('report', 0.05428329653583361)","('future', 0.026324843501144675)","('development', 0.04724947576515425)"
6,,,,"('degree', 0.053375212741406775)","('approach', 0.025600379546274546)","('goal', 0.04105069272658086)"
7,,,,"('macroregional', 0.050910442413404575)","('development', 0.025531571700584954)","('policy', 0.03804088702517213)"
8,,,,"('governance', 0.0503765864664486)","('management', 0.024641796574768064)","('party', 0.037398104619790914)"
9,,,,"('institutional', 0.04864931221878613)","('measure', 0.024075756813389408)","('litigation', 0.037398104619790914)"
