,Topic,Count,Name,-1
0,-1.0,36.0,-1_glacier_water_snow_ice,"('glacier', 0.059783554583819135)"
1,,,,"('water', 0.051175227384365675)"
2,,,,"('snow', 0.048188832867604864)"
3,,,,"('ice', 0.040419622393101186)"
4,,,,"('model', 0.03717283975705975)"
5,,,,"('mountain', 0.03212526825053669)"
6,,,,"('region', 0.030389339864202735)"
7,,,,"('impact', 0.02772874403827177)"
8,,,,"('temperature', 0.025913678879576893)"
9,,,,"('glacial', 0.025913678879576893)"
