,Topic,Count,Name,-1,0,1,2
0,-1.0,28.0,-1_health_vegetation_risk_score,"('health', 0.039556701924001327)","('impact', 0.025636756049880784)","('health', 0.11360170907707956)","('heat', 0.07369837309836141)"
1,0.0,234.0,0_impact_risk_water_community,"('vegetation', 0.02722089977956958)","('risk', 0.023296224380698557)","('child', 0.04459591450745092)","('temperature', 0.07034935027180321)"
2,1.0,38.0,1_health_child_impact_city,"('risk', 0.026833274444750196)","('water', 0.0229323480474005)","('impact', 0.030755311821042443)","('urban', 0.06094375678389434)"
3,2.0,25.0,2_heat_temperature_urban_surface,"('score', 0.0250217951019349)","('community', 0.022809049701381003)","('city', 0.027362341923915817)","('surface', 0.04361324647073655)"
4,,,,"('mining', 0.024486163852642927)","('country', 0.020999256927331)","('dengue', 0.027291827909229058)","('city', 0.039379965011231775)"
5,,,,"('sector', 0.024206288169358412)","('level', 0.019228223671508046)","('care', 0.025766689948495573)","('lst', 0.037096403560107724)"
6,,,,"('biodiversity', 0.022602612787055013)","('policy', 0.017964095584114707)","('disease', 0.025763728043002133)","('thermal', 0.03473903360262426)"
7,,,,"('change', 0.022468834973785472)","('local', 0.01704761765242167)","('public', 0.02412815193228905)","('effect', 0.034512073094458105)"
8,,,,"('system', 0.021865153603360464)","('development', 0.01611000993202409)","('malaria', 0.02373336715474723)","('spatial', 0.03278297520941296)"
9,,,,"('impact', 0.0211185853443836)","('area', 0.0160917049165812)","('community', 0.023039913336496794)","('stress', 0.031882419943662484)"
