,Topic,Count,Name,-1
0,-1.0,23.0,-1_fishery_water_approach_policy,"('fishery', 0.05072648010064637)"
1,,,,"('water', 0.05072648010064637)"
2,,,,"('approach', 0.044401370894052265)"
3,,,,"('policy', 0.04309967030129329)"
4,,,,"('system', 0.037754008431908646)"
5,,,,"('ecosystem', 0.03358087965992586)"
6,,,,"('impact', 0.03358087965992586)"
7,,,,"('management', 0.032154404345039175)"
8,,,,"('decision', 0.032154404345039175)"
9,,,,"('level', 0.030708575853904737)"
