,Topic,Count,Name,-1,0,1
0,-1.0,42.0,-1_coastal_level_sea_policy,"('coastal', 0.061815108616051904)","('coastal', 0.0795757355506557)","('community', 0.11506458986421368)"
1,0.0,28.0,0_coastal_level_sea_impact,"('level', 0.03665350348389123)","('level', 0.043483971190227615)","('social', 0.05834566934561906)"
2,1.0,15.0,1_community_social_livelihood_impact,"('sea', 0.036462242785120204)","('sea', 0.03195814212883721)","('livelihood', 0.05446136403633121)"
3,,,,"('policy', 0.03333319119726206)","('impact', 0.029368292325368438)","('impact', 0.052446343343439214)"
4,,,,"('risk', 0.032985822163357485)","('planning', 0.029227653180683075)","('coastal', 0.052149563112465006)"
5,,,,"('impact', 0.031178503875721464)","('local', 0.028860268966903024)","('stressor', 0.0470483169789054)"
6,,,,"('rise', 0.031112564055529666)","('process', 0.028091886097221807)","('level', 0.04038759868109924)"
7,,,,"('community', 0.028154101775286326)","('area', 0.027986405954912016)","('strategy', 0.039818442580613095)"
8,,,,"('port', 0.025118832151066917)","('vulnerability', 0.027751609701294068)","('resource', 0.03810457943194679)"
9,,,,"('disaster', 0.024920048172810398)","('management', 0.025750895589119988)","('natural', 0.03771430858261883)"
