,Topic,Count,Name,-1
0,-1.0,30.0,-1_tourism_ski_strategy_snowmaking,"('tourism', 0.078196559261864)"
1,,,,"('ski', 0.0706990795893332)"
2,,,,"('strategy', 0.040775082260390304)"
3,,,,"('snowmaking', 0.040775082260390304)"
4,,,,"('region', 0.040775082260390304)"
5,,,,"('winter', 0.038673295829897834)"
6,,,,"('mountain', 0.037608522783634656)"
7,,,,"('area', 0.03653405114838926)"
8,,,,"('impact', 0.035449516048557714)"
9,,,,"('future', 0.03213143901430657)"
