,Topic,Count,Name,-1,0,1,2
0,-1.0,116.0,-1_extreme_impact_event_weather,"('extreme', 0.027863739150404077)","('extreme', 0.04169871058069779)","('heat', 0.06646770951842529)","('disaster', 0.06354271099472805)"
1,0.0,119.0,0_extreme_rainfall_water_drought,"('impact', 0.027172710947550416)","('rainfall', 0.039980749617070675)","('city', 0.050515982272915746)","('drr', 0.029676057127689667)"
2,1.0,57.0,1_heat_city_health_urban,"('event', 0.02385266921570251)","('water', 0.03780996670833584)","('health', 0.0498546724012732)","('event', 0.026378844157025096)"
3,2.0,34.0,2_disaster_drr_event_hazard,"('weather', 0.02336350585135103)","('drought', 0.03726133486524076)","('urban', 0.047440988167788904)","('hazard', 0.02557532318120436)"
4,,,,"('system', 0.021654963003109488)","('model', 0.03542457746786178)","('population', 0.03523900574971014)","('community', 0.02557532318120436)"
5,,,,"('risk', 0.021539459910522803)","('flood', 0.030431758963157782)","('temperature', 0.03415683246780651)","('risk', 0.02371191690073862)"
6,,,,"('area', 0.020278378440354603)","('precipitation', 0.0300339447961546)","('related', 0.03282535815617943)","('information', 0.023607568642971637)"
7,,,,"('future', 0.02012511912953801)","('future', 0.02872038891839659)","('local', 0.032253807066469554)","('weather', 0.022961392606283406)"
8,,,,"('increase', 0.018912450463486594)","('increase', 0.027667391639667176)","('weather', 0.0316608163122465)","('mountain', 0.022281907787380466)"
9,,,,"('level', 0.01879197424840108)","('temperature', 0.023639083700363193)","('extreme', 0.030719399186975232)","('city', 0.020783734736861504)"
