,Topic,Count,Name,-1
0,-1.0,12.0,-1_flood_disaster_risk_event,"('flood', 0.10743766186677725)"
1,,,,"('disaster', 0.06900097574892992)"
2,,,,"('risk', 0.05898810865105039)"
3,,,,"('event', 0.05265792042962522)"
4,,,,"('local', 0.04828002002524948)"
5,,,,"('community', 0.046038228530800196)"
6,,,,"('impact', 0.04375823576751607)"
7,,,,"('extreme', 0.039072870792548106)"
8,,,,"('infrastructure', 0.039072870792548106)"
9,,,,"('strategy', 0.03666109315730173)"
