,Topic,Count,Name,-1
0,-1.0,39.0,-1_water_community_level_development,"('water', 0.03966458902538769)"
1,,,,"('community', 0.03811926760793655)"
2,,,,"('level', 0.0373390473559234)"
3,,,,"('development', 0.03655360851235663)"
4,,,,"('risk', 0.03655360851235663)"
5,,,,"('impact', 0.027521660455900404)"
6,,,,"('city', 0.02665953334598884)"
7,,,,"('environmental', 0.02578943139499093)"
8,,,,"('flood', 0.02578943139499093)"
9,,,,"('strategy', 0.0249110187990291)"
