,Topic,Count,Name,-1,0,1
0,-1.0,28.0,-1_urban_food_city_impact,"('urban', 0.04211660981098984)","('health', 0.05972909991026975)","('water', 0.08597605841294607)"
1,0.0,22.0,0_health_energy_risk_system,"('food', 0.03980219762179628)","('energy', 0.03269204496652564)","('impact', 0.043499321720764)"
2,1.0,11.0,1_water_impact_use_carbon,"('city', 0.03801281502734308)","('risk', 0.032532782909658525)","('use', 0.04094210024776515)"
3,,,,"('impact', 0.03329382029710477)","('system', 0.02922796879269945)","('carbon', 0.04094210024776515)"
4,,,,"('water', 0.03290248359536645)","('temperature', 0.0264726881097254)","('data', 0.03437282839039427)"
5,,,,"('energy', 0.02847949931778216)","('public', 0.025544101752707514)","('region', 0.03293058623261458)"
6,,,,"('country', 0.028266351023458328)","('future', 0.025344659160683562)","('facility', 0.03180373185984897)"
7,,,,"('health', 0.027100356490394405)","('mitigation', 0.02376061796314084)","('habitat', 0.031162135222970004)"
8,,,,"('effect', 0.02650838250568418)","('technology', 0.02338049705237711)","('solar', 0.028464961297824106)"
9,,,,"('human', 0.02530424913630321)","('action', 0.022820418979888072)","('plant', 0.028032233414880182)"
