,Topic,Count,Name,-1,0,1
0,-1.0,18.0,-1_water_model_impact_change,"('water', 0.061048469641899264)","('water', 0.13111965241474952)","('precipitation', 0.06236738873753137)"
1,0.0,17.0,0_water_cost_irrigation_policy,"('model', 0.057984145959472204)","('cost', 0.03988941954049874)","('model', 0.050227670930003264)"
2,1.0,15.0,1_precipitation_model_time_mean,"('impact', 0.03654778406924625)","('irrigation', 0.0339636579996448)","('time', 0.04715624764743305)"
3,,,,"('change', 0.03600279952123176)","('policy', 0.033237784450558285)","('mean', 0.04413824181097013)"
4,,,,"('hydrological', 0.033911116361357574)","('use', 0.030924310224754562)","('river', 0.04401910445186878)"
5,,,,"('lake', 0.030724782479598207)","('river', 0.029780911135154072)","('runoff', 0.03972441762987312)"
6,,,,"('river', 0.02862002926624241)","('management', 0.02924915169859649)","('water', 0.03712283936081574)"
7,,,,"('based', 0.02763179191792874)","('scenario', 0.02767837801626887)","('scenario', 0.03692249744149763)"
8,,,,"('future', 0.02758506173115498)","('demand', 0.02641580684358496)","('hydrological', 0.03633609461570461)"
9,,,,"('data', 0.027490594850166816)","('drought', 0.026073021922853774)","('uncertainty', 0.033017863345180205)"
