,Topic,Count,Name,-1,0,1
0,-1.0,32.0,-1_drought_community_water_year,"('drought', 0.06512660532951524)","('drought', 0.10909857837047565)","('drought', 0.06958838551981984)"
1,0.0,12.0,0_drought_water_index_time,"('community', 0.027234874421467454)","('water', 0.07535057153918637)","('local', 0.04942444551230381)"
2,1.0,10.0,1_drought_local_development_risk,"('water', 0.025703238862546343)","('index', 0.03948948719390998)","('development', 0.04659838785040402)"
3,,,,"('year', 0.02363185349129948)","('time', 0.03947851810843563)","('risk', 0.040681439650201316)"
4,,,,"('livelihood', 0.022861855185687462)","('groundwater', 0.03814224998059784)","('response', 0.03640002152901279)"
5,,,,"('region', 0.022770461430116906)","('soil', 0.03704624705091645)","('water', 0.03570339574483493)"
6,,,,"('capacity', 0.02241327835781164)","('severe', 0.03537753229809844)","('africa', 0.03330690698714255)"
7,,,,"('risk', 0.022395928527305164)","('data', 0.03454129057726292)","('project', 0.03330690698714255)"
8,,,,"('index', 0.021988563674079656)","('agricultural', 0.03403108357936855)","('household', 0.0325000013634985)"
9,,,,"('system', 0.021378597684564626)","('area', 0.03355316663125412)","('south', 0.030005747257159734)"
