,Topic,Count,Name,-1
0,-1.0,28.0,-1_policy_governance_capacity_level,"('policy', 0.04438596303349157)"
1,,,,"('governance', 0.03842168261852029)"
2,,,,"('capacity', 0.037398834155125814)"
3,,,,"('level', 0.036367006856876126)"
4,,,,"('region', 0.03427508885537541)"
5,,,,"('impact', 0.03427508885537541)"
6,,,,"('scenario', 0.031060881875315815)"
7,,,,"('action', 0.031060881875315815)"
8,,,,"('risk', 0.029967389366276593)"
9,,,,"('strategy', 0.027744188392145222)"
