,Topic,Count,Name,-1
0,-1.0,29.0,-1_policy_planning_framework_strategy,"('policy', 0.0713357105576137)"
1,,,,"('planning', 0.045669686046447125)"
2,,,,"('framework', 0.0375659700209042)"
3,,,,"('strategy', 0.0375659700209042)"
4,,,,"('approach', 0.03514770962837774)"
5,,,,"('spatial', 0.03141948827036281)"
6,,,,"('analysis', 0.030147233819388178)"
7,,,,"('implementation', 0.030147233819388178)"
8,,,,"('measure', 0.030147233819388178)"
9,,,,"('impact', 0.030147233819388178)"
