,Topic,Count,Name,-1,0,1
0,-1.0,4.0,-1_tv_mortality_dwelling_yll,"('tv', 0.12286802905337497)","('dengue', 0.03550574118809363)","('difference', 0.0505324609361184)"
1,0.0,29.0,0_dengue_model_using_future,"('mortality', 0.09707663141804446)","('model', 0.03482665378863322)","('strain', 0.04533841534997217)"
2,1.0,12.0,1_difference_strain_resistance_temperature,"('dwelling', 0.08350081961658785)","('using', 0.029391642641795036)","('resistance', 0.04533841534997217)"
3,,,,"('yll', 0.08350081961658785)","('future', 0.02869700036824828)","('temperature', 0.0422871339620527)"
4,,,,"('prediction', 0.08089719284837038)","('study', 0.02767684926108293)","('population', 0.03944670406983225)"
5,,,,"('temperature', 0.0741862537359106)","('impact', 0.026728275010365593)","('cold', 0.03916271809752451)"
6,,,,"('term', 0.06987884477554304)","('cost', 0.02645913892618605)","('budbreak', 0.03916271809752451)"
7,,,,"('indoor', 0.06935142700001606)","('extreme', 0.025455500009871995)","('torpor', 0.03916271809752451)"
8,,,,"('death', 0.06935142700001606)","('analysis', 0.024437707424965156)","('form', 0.03345875784146047)"
9,,,,"('near', 0.06935142700001606)","('source', 0.0239529139288634)","('thermal', 0.0319690372154053)"
