,Topic,Count,Name,-1
0,-1.0,41.0,-1_weather_extreme_event_risk,"('weather', 0.07443441460507533)"
1,,,,"('extreme', 0.06363631144564799)"
2,,,,"('event', 0.057042577355563305)"
3,,,,"('risk', 0.03735987848722089)"
4,,,,"('impact', 0.033027187813566096)"
5,,,,"('wind', 0.030040305370630724)"
6,,,,"('system', 0.0292799255509307)"
7,,,,"('in', 0.028513730535459553)"
8,,,,"('data', 0.024588158717713426)"
9,,,,"('region', 0.024588158717713426)"
