,Topic,Count,Name,-1
0,-1.0,55.0,-1_social_policy_risk_community,"('social', 0.05102033508093679)"
1,,,,"('policy', 0.049862555479551034)"
2,,,,"('risk', 0.042087855412111734)"
3,,,,"('community', 0.037698177018785466)"
4,,,,"('health', 0.037698177018785466)"
5,,,,"('decision', 0.03180085720778603)"
6,,,,"('local', 0.030445847850773256)"
7,,,,"('people', 0.029761620490434713)"
8,,,,"('network', 0.028379065839468615)"
9,,,,"('response', 0.028379065839468615)"
