,Topic,Count,Name,-1,0,1
0,-1.0,11.0,-1_health_development_capacity_ecosystem,"('health', 0.08208556297440113)","('approach', 0.03925529750859011)","('vulnerability', 0.08961826544880651)"
1,0.0,35.0,0_approach_based_land_policy,"('development', 0.0655609996514161)","('based', 0.03725135260836201)","('risk', 0.06831226164032028)"
2,1.0,18.0,1_vulnerability_risk_assessment_cca,"('capacity', 0.052282053539618546)","('land', 0.03216600794500322)","('assessment', 0.05899057075598263)"
3,,,,"('ecosystem', 0.04945866636587108)","('policy', 0.03059325706835377)","('cca', 0.04331127982706152)"
4,,,,"('riparian', 0.049238309707395456)","('use', 0.03033303692701836)","('disaster', 0.04034885325222283)"
5,,,,"('system', 0.04602449533221744)","('system', 0.029100904861099983)","('framework', 0.039047685088901295)"
6,,,,"('human', 0.04259800349314999)","('building', 0.025470653691247524)","('community', 0.038215835141524865)"
7,,,,"('level', 0.041159448883921465)","('impact', 0.02519444699746781)","('drr', 0.037044346748018944)"
8,,,,"('risk', 0.03681959626577395)","('mitigation', 0.02478595611676217)","('information', 0.03592412557820874)"
9,,,,"('current', 0.034228313799181544)","('resource', 0.02440937645411221)","('resilience', 0.03391488690811913)"
