,Topic,Count,Name,-1
0,-1.0,28.0,-1_data_process_policy_planning,"('data', 0.04242410005561397)"
1,,,,"('process', 0.039241712410384634)"
2,,,,"('policy', 0.039241712410384634)"
3,,,,"('planning', 0.03816228100736515)"
4,,,,"('action', 0.03260910778933177)"
5,,,,"('tool', 0.03030672200023643)"
6,,,,"('decision', 0.029136001664950527)"
7,,,,"('approach', 0.026752149719645464)"
8,,,,"('plan', 0.026752149719645464)"
9,,,,"('support', 0.026752149719645464)"
