,Topic,Count,Name,-1
0,-1.0,61.0,-1_risk_disaster_resilience_flood,"('risk', 0.060258056868523514)"
1,,,,"('disaster', 0.048645731853686106)"
2,,,,"('resilience', 0.03743385591006198)"
3,,,,"('flood', 0.03546199174421076)"
4,,,,"('health', 0.03496367894794094)"
5,,,,"('impact', 0.03192579129327264)"
6,,,,"('policy', 0.029851413760440364)"
7,,,,"('urban', 0.029326201893999305)"
8,,,,"('city', 0.02826742024185691)"
9,,,,"('based', 0.02773372039003925)"
