,Topic,Count,Name,-1,0,1
0,-1.0,47.0,-1_drought_crop_yield_year,"('drought', 0.038314451041084746)","('drought', 0.11796650715178841)","('drought', 0.052136472270198575)"
1,0.0,20.0,0_drought_water_impact_index,"('crop', 0.03431684935718303)","('water', 0.05908146003921042)","('development', 0.05124024194713957)"
2,1.0,17.0,1_drought_development_household_local,"('yield', 0.030203711326685673)","('impact', 0.03336641253751984)","('household', 0.03841788201203377)"
3,,,,"('year', 0.026292538549756262)","('index', 0.032935137727434304)","('local', 0.03778146054845142)"
4,,,,"('water', 0.0252103422161832)","('rainfall', 0.032698583703348834)","('community', 0.030786353081948898)"
5,,,,"('result', 0.0233284540472488)","('period', 0.03224363638293284)","('disaster', 0.028524360827146055)"
6,,,,"('temperature', 0.022544286426067418)","('precipitation', 0.03058227711278272)","('water', 0.027985680568789206)"
7,,,,"('region', 0.022110196674855215)","('severe', 0.030210439152319638)","('access', 0.02764147173593443)"
8,,,,"('extreme', 0.02175353307647266)","('meteorological', 0.029163194372202942)","('institutional', 0.027283321693435933)"
9,,,,"('also', 0.021462559481293532)","('data', 0.02748437578501244)","('resilience', 0.02715002250607465)"
