,Topic,Count,Name,-1,0,1
0,-1.0,36.0,-1_water_groundwater_level_population,"('water', 0.06718676719234118)","('water', 0.10408853615671693)","('model', 0.08015084342886074)"
1,0.0,26.0,0_water_management_resource_supply,"('groundwater', 0.045757953517585465)","('management', 0.04291111842256363)","('future', 0.044808247227281106)"
2,1.0,18.0,1_model_future_water_reservoir,"('level', 0.030228053154798037)","('resource', 0.030735884227061413)","('water', 0.04364209644083243)"
3,,,,"('population', 0.02616849736415681)","('supply', 0.02529504839654531)","('reservoir', 0.03800736310316245)"
4,,,,"('aquifer', 0.025838081411695545)","('river', 0.02475319799378334)","('impact', 0.03722149113977073)"
5,,,,"('region', 0.0235564054584698)","('case', 0.024660834765391656)","('projection', 0.03567601679509472)"
6,,,,"('scenario', 0.022820267787892617)","('year', 0.02433086319499543)","('runoff', 0.033386685998186956)"
7,,,,"('area', 0.022671039866098527)","('urban', 0.022934048955925504)","('flow', 0.03060423127997373)"
8,,,,"('data', 0.021779990251304608)","('strategy', 0.02239185428598116)","('hydrological', 0.0288123056850687)"
9,,,,"('model', 0.021605994998100106)","('process', 0.021780838103758776)","('resource', 0.02825204719946981)"
