,Topic,Count,Name,-1,0,1,2
0,-1.0,37.0,-1_area_increase_urban_policy,"('area', 0.041386537976328644)","('food', 0.03988385161177828)","('water', 0.056537241788473594)","('health', 0.06904547224353405)"
1,0.0,32.0,0_food_yield_system_co2,"('increase', 0.027375609948732657)","('yield', 0.033934767526712525)","('flood', 0.042907057546566)","('energy', 0.05107349777728618)"
2,1.0,22.0,1_water_flood_risk_fire,"('urban', 0.02594195560265024)","('system', 0.03237410974571883)","('risk', 0.03303884817947642)","('emission', 0.04366154416314141)"
3,2.0,13.0,2_health_energy_emission_aviation,"('policy', 0.025392631876161555)","('co2', 0.032059958675129424)","('fire', 0.02439035282853547)","('aviation', 0.03696325594430666)"
4,,,,"('health', 0.02539156034113677)","('production', 0.0314670841545042)","('management', 0.024371723838164577)","('risk', 0.036837307965479106)"
5,,,,"('water', 0.025198458183610693)","('soc', 0.031095645045139546)","('year', 0.023920685609538955)","('fuel', 0.03651168442172392)"
6,,,,"('city', 0.024123330563516343)","('soil', 0.02873757791484441)","('river', 0.023893330927674324)","('service', 0.032433116748306116)"
7,,,,"('land', 0.023171272840153183)","('crop', 0.027157800179017404)","('result', 0.02338124654756281)","('china', 0.029201926618464342)"
8,,,,"('emission', 0.022497239658932223)","('increase', 0.026136060098314436)","('event', 0.02125144383501391)","('value', 0.028662084326555218)"
9,,,,"('china', 0.021057437536424785)","('land', 0.021911406048577674)","('city', 0.02112531924348338)","('carbon', 0.028660837715128902)"
