,Topic,Count,Name,-1,0,1
0,-1.0,27.0,-1_coastal_mangrove_sea_level,"('coastal', 0.05801116999232738)","('coastal', 0.07635410469871681)","('impact', 0.05733028509891076)"
1,0.0,51.0,0_coastal_sea_level_risk,"('mangrove', 0.03509027955564418)","('sea', 0.04884259513595878)","('vulnerability', 0.05733028509891076)"
2,1.0,12.0,1_impact_vulnerability_community_livelihood,"('sea', 0.03249900099590401)","('level', 0.047833004492429027)","('community', 0.0533583372346027)"
3,,,,"('level', 0.03192057220195068)","('risk', 0.038807877416764544)","('livelihood', 0.04333752341329029)"
4,,,,"('island', 0.03108039578511505)","('flooding', 0.03755134184698582)","('capacity', 0.04250259125993267)"
5,,,,"('flood', 0.026331255127015535)","('rise', 0.03404654994126714)","('fishery', 0.04238638517291886)"
6,,,,"('environmental', 0.025725313503475462)","('area', 0.030417562261473956)","('household', 0.04000386776611411)"
7,,,,"('reef', 0.025545355733334576)","('flood', 0.03023359842926314)","('adaptive', 0.0388763933401031)"
8,,,,"('migration', 0.023612366605205947)","('community', 0.027162600299976997)","('fishing', 0.038854186408508955)"
9,,,,"('coral', 0.023327268453731898)","('erosion', 0.02689779617512728)","('coastal', 0.03275548754114519)"
