,Topic,Count,Name,-1
0,-1.0,37.0,-1_urban_city_risk_policy,"('urban', 0.08831214349527731)"
1,,,,"('city', 0.07255306780486644)"
2,,,,"('risk', 0.06554920853003084)"
3,,,,"('policy', 0.048964199519388345)"
4,,,,"('planning', 0.039886553084398424)"
5,,,,"('impact', 0.03464142011820883)"
6,,,,"('area', 0.03374345630054362)"
7,,,,"('process', 0.031925099107818176)"
8,,,,"('action', 0.031925099107818176)"
9,,,,"('approach', 0.03007501908014077)"
