,Topic,Count,Name,-1
0,-1.0,88.0,-1_policy_risk_water_development,"('policy', 0.04875828838860699)"
1,,,,"('risk', 0.04875828838860699)"
2,,,,"('water', 0.040759751220845915)"
3,,,,"('development', 0.034121256675390406)"
4,,,,"('impact', 0.03374097436417266)"
5,,,,"('capacity', 0.02946630987269273)"
6,,,,"('result', 0.028268986387233762)"
7,,,,"('strategy', 0.028268986387233762)"
8,,,,"('vulnerability', 0.027462579395820027)"
9,,,,"('adaptive', 0.027056829214881225)"
