,Topic,Count,Name,-1,0,1,2
0,-1.0,44.0,-1_weather_extreme_event_wind,"('weather', 0.04433218112175489)","('rainfall', 0.09233770054474348)","('forecast', 0.06676143926281836)","('housing', 0.06534068757380092)"
1,0.0,22.0,0_rainfall_model_future_extreme,"('extreme', 0.03719051412564849)","('model', 0.0713667732404778)","('disaster', 0.06016764863744069)","('strategy', 0.04214555661674069)"
2,1.0,15.0,1_forecast_disaster_event_risk,"('event', 0.026347227597258813)","('future', 0.062187940057849715)","('event', 0.05245249085944075)","('production', 0.041334606478834926)"
3,2.0,10.0,2_housing_strategy_production_association,"('wind', 0.024980309164538524)","('extreme', 0.04850974130734419)","('risk', 0.048176340926084776)","('association', 0.040743471954529556)"
4,,,,"('flood', 0.023992827279768637)","('water', 0.04485835675741345)","('extreme', 0.04056957956899089)","('weather', 0.040135538454080646)"
5,,,,"('forest', 0.022041449262828108)","('increase', 0.038899935046434714)","('drr', 0.035920709622842086)","('impact', 0.03814466857860404)"
6,,,,"('data', 0.02181166116342603)","('temperature', 0.03550465946233856)","('weather', 0.03585449967446012)","('co', 0.03675413676026301)"
7,,,,"('change', 0.021784627628944238)","('basin', 0.033588795640839414)","('system', 0.03192518513461531)","('risk', 0.03674973929486236)"
8,,,,"('based', 0.021588069742137533)","('result', 0.03310909733204079)","('food', 0.028538080929463812)","('life', 0.03556650960678505)"
9,,,,"('impact', 0.020742470095655358)","('using', 0.032495175012829225)","('government', 0.027959244942872198)","('event', 0.034454484843994604)"
