,Topic,Count,Name,-1,0,1
0,-1.0,47.0,-1_water_model_impact_river,"('water', 0.0606933380511115)","('water', 0.09580327249935411)","('model', 0.0675520004983624)"
1,0.0,34.0,0_water_lake_policy_river,"('model', 0.0379951866557246)","('lake', 0.03331545878774501)","('hydrological', 0.03741719524461314)"
2,1.0,28.0,1_model_hydrological_scenario_runoff,"('impact', 0.03125822134978667)","('policy', 0.03207519184111517)","('scenario', 0.035655326037901953)"
3,,,,"('river', 0.025071049152143265)","('river', 0.028282064793832322)","('runoff', 0.035650244473119944)"
4,,,,"('flow', 0.02478956017660964)","('irrigation', 0.025374901721538213)","('future', 0.0333751648887449)"
5,,,,"('increase', 0.02254853642012374)","('management', 0.0253683641817569)","('using', 0.03169622131919399)"
6,,,,"('potential', 0.022044975306451938)","('use', 0.02411760362554863)","('precipitation', 0.031622944541669015)"
7,,,,"('future', 0.02179040580133495)","('increase', 0.023786750847818394)","('data', 0.031465861514125726)"
8,,,,"('area', 0.021556495401611385)","('scenario', 0.023720253685750852)","('water', 0.02974740620909533)"
9,,,,"('hydrological', 0.02151454464244506)","('year', 0.023681928329147332)","('time', 0.029314323756484056)"
