,Topic,Count,Name,-1,0,1
0,-1.0,3.0,-1_budbreak_thermal_comfort_seedling,"('budbreak', 0.16759089204420946)","('model', 0.040470551563276475)","('human', 0.062038141996796976)"
1,0.0,32.0,0_model_dengue_temperature_study,"('thermal', 0.1366401408746481)","('dengue', 0.035393002920837455)","('neandertal', 0.046507739875220395)"
2,1.0,25.0,1_human_neandertal_nasal_variation,"('comfort', 0.1249220815634868)","('temperature', 0.028962575074099148)","('nasal', 0.04222422695365058)"
3,,,,"('seedling', 0.10989686313058644)","('study', 0.02875406312622378)","('variation', 0.03800180425828552)"
4,,,,"('xi', 0.10989686313058644)","('future', 0.028498565281207467)","('body', 0.03430987459573975)"
5,,,,"('regarding', 0.0988133714410581)","('using', 0.027333467040256645)","('modern', 0.033128758366817196)"
6,,,,"('dormancy', 0.09436212497987488)","('impact', 0.02650681078239182)","('population', 0.03311367029536504)"
7,,,,"('nb', 0.09436212497987488)","('cost', 0.026258281155677625)","('sample', 0.03144524307522351)"
8,,,,"('number', 0.08719467420113988)","('extreme', 0.02524458169751602)","('difference', 0.0290564798208733)"
9,,,,"('prolonged', 0.07821417402799367)","('source', 0.023682817586123176)","('shape', 0.02825385195189623)"
