,Topic,Count,Name,-1,0,1,2,3
0,-1.0,82.0,-1_social_gender_approach_impact,"('social', 0.032487701718776636)","('policy', 0.07022546934338719)","('decision', 0.07651913774691266)","('social', 0.047553823860212285)","('knowledge', 0.0849282845091339)"
1,0.0,34.0,0_policy_development_country_sector,"('gender', 0.02340900184020425)","('development', 0.04409549866515407)","('science', 0.06452743151087816)","('resilience', 0.04593612018125029)","('narrative', 0.05757705986158016)"
2,1.0,21.0,1_decision_science_stakeholder_project,"('approach', 0.0220934371374592)","('country', 0.03843821915233202)","('stakeholder', 0.05222411103664426)","('risk', 0.04509750967770378)","('local', 0.0534398305598279)"
3,2.0,17.0,2_social_resilience_risk_perception,"('impact', 0.021914137788591328)","('sector', 0.030558100395159573)","('project', 0.04437399963720287)","('perception', 0.04229377205884798)","('social', 0.039878871768822766)"
4,3.0,12.0,3_knowledge_narrative_local_social,"('health', 0.02173650677012803)","('governance', 0.029876919490683312)","('knowledge', 0.04181346446584018)","('adaptive', 0.04223653724565934)","('community', 0.03560319796397225)"
5,,,,"('policy', 0.021159554711312676)","('government', 0.026289938807183815)","('practice', 0.04162298250116872)","('capacity', 0.04080551060556474)","('learning', 0.03311856257285621)"
6,,,,"('action', 0.02106816727803591)","('political', 0.024459811314415793)","('information', 0.039791792059418525)","('response', 0.039852738437490695)","('system', 0.03207264115737685)"
7,,,,"('practice', 0.01918878374006323)","('private', 0.023470956880594966)","('maker', 0.036675388411282844)","('strategy', 0.03842593698580898)","('policy', 0.03141647045961623)"
8,,,,"('local', 0.01889615784409728)","('planning', 0.022489523244491983)","('engagement', 0.03531805037207438)","('individual', 0.03298218294793842)","('co', 0.030926910429093773)"
9,,,,"('vulnerability', 0.018859193807148213)","('resource', 0.02227138191384742)","('making', 0.03440508215512028)","('people', 0.029384540047971575)","('weather', 0.029961746863778064)"
