,Topic,Count,Name,-1
0,-1.0,52.0,-1_management_community_forest_policy,"('management', 0.0369661207322598)"
1,,,,"('community', 0.033919024651171366)"
2,,,,"('forest', 0.03141948827036281)"
3,,,,"('policy', 0.030785314347269294)"
4,,,,"('knowledge', 0.02950514262852594)"
5,,,,"('approach', 0.02885893108913869)"
6,,,,"('based', 0.02755367721713757)"
7,,,,"('impact', 0.02755367721713757)"
8,,,,"('environmental', 0.026894382877908716)"
9,,,,"('health', 0.026894382877908716)"
