,Topic,Count,Name,-1,0,1
0,-1.0,33.0,-1_wildfire_extreme_impact_precipitation,"('wildfire', 0.047402576125244816)","('water', 0.023765259777674776)","('heat', 0.07477520828423152)"
1,0.0,78.0,0_water_global_area_in,"('extreme', 0.04496079324573179)","('global', 0.02184124108823549)","('health', 0.051574946405920204)"
2,1.0,45.0,1_heat_health_urban_temperature,"('impact', 0.040420670535282074)","('area', 0.0212674021207405)","('urban', 0.04917522196458886)"
3,,,,"('precipitation', 0.03791851232633749)","('in', 0.02078387619094517)","('temperature', 0.042647192352558344)"
4,,,,"('city', 0.036883936971948666)","('risk', 0.020737133834213228)","('extreme', 0.03891254134400851)"
5,,,,"('system', 0.03125467140539422)","('impact', 0.019978659889538567)","('population', 0.03885695015699008)"
6,,,,"('change', 0.029549991616705146)","('flood', 0.01981259087348668)","('city', 0.03797641797060118)"
7,,,,"('future', 0.028974704247757343)","('development', 0.019737611652273262)","('related', 0.03345879598580059)"
8,,,,"('increase', 0.028075031431641247)","('region', 0.019012966876108522)","('exposure', 0.031223001578216766)"
9,,,,"('energy', 0.02781812120153565)","('level', 0.018929883300445757)","('local', 0.030193971314519848)"
