,Topic,Count,Name,-1,0,1,2
0,-1.0,35.0,-1_heat_impact_area_carbon,"('heat', 0.043343985131135)","('urban', 0.06827929676887468)","('ocean', 0.1084775114178713)","('water', 0.08658745793190473)"
1,0.0,37.0,0_urban_energy_city_temperature,"('impact', 0.0292388658626086)","('energy', 0.04425769178770172)","('arctic', 0.06686244011641239)","('crop', 0.06790849351945848)"
2,1.0,13.0,1_ocean_arctic_warming_global,"('area', 0.02820476731492051)","('city', 0.039525777642696866)","('warming', 0.059165448585570275)","('yield', 0.056050780472069295)"
3,2.0,11.0,2_water_crop_yield_daf,"('carbon', 0.028073850978427586)","('temperature', 0.03675323752009351)","('global', 0.05488553461956342)","('daf', 0.050810838693148994)"
4,,,,"('city', 0.0265990980510299)","('building', 0.030908584157041515)","('emission', 0.052996684807740786)","('food', 0.04440891908047097)"
5,,,,"('urban', 0.025692616543728494)","('green', 0.03044576283480767)","('coral', 0.05276855597837362)","('maize', 0.039448315497477224)"
6,,,,"('potential', 0.02489304009440922)","('demand', 0.024253589009633952)","('carbon', 0.04484334868347297)","('root', 0.03647358921706886)"
7,,,,"('risk', 0.02406027696659449)","('consumption', 0.023468804131881647)","('increased', 0.043119233030058685)","('increase', 0.03624995084001494)"
8,,,,"('global', 0.022998026725726862)","('used', 0.022957720897302598)","('health', 0.043119233030058685)","('lue', 0.03343480945442347)"
9,,,,"('future', 0.02119515534992545)","('electricity', 0.022957720897302598)","('change', 0.04196680590119596)","('system', 0.032948252662564986)"
