,Topic,Count,Name,-1,0,1,2,3
0,-1.0,72.0,-1_water_drought_impact_risk,"('water', 0.038094853562118176)","('drought', 0.09283337100127334)","('drought', 0.04641439255836654)","('forest', 0.11721882045040334)","('yield', 0.11323541496813265)"
1,0.0,37.0,0_drought_index_rainfall_precipitation,"('drought', 0.035786707997824484)","('index', 0.044736711190389744)","('farmer', 0.03147174379510578)","('fire', 0.06986848713417604)","('crop', 0.09768963540290142)"
2,1.0,33.0,1_drought_farmer_community_development,"('impact', 0.022716472720028164)","('rainfall', 0.04074812428694024)","('community', 0.03114432535661043)","('ecosystem', 0.05887488468694653)","('wheat', 0.05062655844324894)"
3,2.0,14.0,2_forest_fire_ecosystem_te,"('risk', 0.019901449168180645)","('precipitation', 0.03554019758510288)","('development', 0.030356824269458807)","('te', 0.049722673996771403)","('maize', 0.04873055650495444)"
4,3.0,13.0,3_yield_crop_wheat_maize,"('region', 0.01946333351227155)","('water', 0.033876936529421)","('livelihood', 0.027375817642299606)","('wildfire', 0.044769895325185355)","('temperature', 0.04626649361685934)"
5,,,,"('local', 0.018138658092921544)","('time', 0.027046916707671266)","('vulnerability', 0.026439814686302833)","('management', 0.03779924994316817)","('scenario', 0.04548911947140958)"
6,,,,"('year', 0.017977959600831313)","('result', 0.02593745540879309)","('flood', 0.02584479306797913)","('service', 0.03704161218390523)","('date', 0.04049144832371093)"
7,,,,"('strategy', 0.017889568321052044)","('future', 0.02504092886127144)","('local', 0.024258040903498687)","('condition', 0.029939674985159394)","('sowing', 0.03794459497230869)"
8,,,,"('system', 0.016607856385114538)","('model', 0.020765177163810364)","('impact', 0.024228256273321497)","('cent', 0.027966548062974213)","('kg', 0.037436937152661824)"
9,,,,"('community', 0.01653962670661821)","('analysis', 0.02050235290710988)","('extreme', 0.023195083533719348)","('per', 0.025266252543856626)","('model', 0.03636157816338899)"
