,Topic,Count,Name,-1,0,1
0,-1.0,27.0,-1_forest_management_land_use,"('forest', 0.07457899331396967)","('forest', 0.07352333630988801)","('community', 0.05749254389127833)"
1,0.0,14.0,0_forest_tree_site_area,"('management', 0.038468455017039584)","('tree', 0.043559694062077145)","('pfm', 0.05675471848126479)"
2,1.0,11.0,1_community_pfm_forest_local,"('land', 0.036362863212926165)","('site', 0.043109007416589594)","('forest', 0.05430322926548907)"
3,,,,"('use', 0.034730646814002904)","('area', 0.04252254266588171)","('local', 0.04744230716908514)"
4,,,,"('tree', 0.03441914396261437)","('seed', 0.03562260109871642)","('livelihood', 0.0453968727704795)"
5,,,,"('ecosystem', 0.031777356418413026)","('region', 0.034841744266267245)","('resource', 0.03972520297013604)"
6,,,,"('change', 0.02744376238860194)","('soil', 0.034838313044686674)","('ecological', 0.03829712386292185)"
7,,,,"('area', 0.026682057554821403)","('conservation', 0.03399841035375218)","('green', 0.036945480620545375)"
8,,,,"('service', 0.024140614255281793)","('grassland', 0.03277762885903859)","('management', 0.03551513517775838)"
9,,,,"('policy', 0.024034627895603143)","('vegetation', 0.032448791253172)","('household', 0.03464384337801284)"
