,Topic,Count,Name,-1,0,1,2,3
0,-1.0,31.0,-1_policy_social_risk_planning,"('policy', 0.037026306563101005)","('risk', 0.08579289879628256)","('capacity', 0.0436130426711413)","('decision', 0.10251188044152373)","('policy', 0.16326203141464368)"
1,0.0,26.0,0_risk_vulnerability_disaster_impact,"('social', 0.03298719622989388)","('vulnerability', 0.04924009371722177)","('policy', 0.042066476665799095)","('uncertainty', 0.06181644275444258)","('mitigation', 0.14390791238359765)"
2,1.0,23.0,1_capacity_policy_adaptive_action,"('risk', 0.02923879722229466)","('disaster', 0.04345583220045783)","('adaptive', 0.03605999871243669)","('model', 0.05173717038020835)","('restriction', 0.06340533212174075)"
3,2.0,12.0,2_decision_uncertainty_model_making,"('planning', 0.02752188310197328)","('impact', 0.03095018454045644)","('action', 0.03470983005101003)","('making', 0.05032601309558369)","('however', 0.053514312581331325)"
4,3.0,10.0,3_policy_mitigation_restriction_however,"('level', 0.0261868705994844)","('health', 0.02869703956755258)","('framework', 0.034517668127652834)","('analysis', 0.04722133625151394)","('engineering', 0.05283777676811728)"
5,,,,"('approach', 0.025467891770854175)","('port', 0.02869703956755258)","('process', 0.0335405505078363)","('option', 0.04704093759851798)","('level', 0.04787273949117212)"
6,,,,"('may', 0.02526363572266647)","('country', 0.028530979253863796)","('technology', 0.03043236898290306)","('ensemble', 0.04494079369490028)","('cost', 0.047736331277213565)"
7,,,,"('process', 0.02402946099428774)","('data', 0.027246243485400144)","('barrier', 0.028642229630967585)","('large', 0.04148380956452334)","('problem', 0.044583917216696904)"
8,,,,"('action', 0.02368301722912802)","('assessment', 0.026816444750995868)","('governance', 0.02742381261354158)","('value', 0.040365365150431605)","('case', 0.043714209922073664)"
9,,,,"('resilience', 0.022972391644179177)","('resilience', 0.02580190036902184)","('implementation', 0.027295972525192683)","('time', 0.035922957319872106)","('reduce', 0.042562310246084055)"
