,Topic,Count,Name,-1
0,-1.0,35.0,-1_coastal_level_community_sea,"('coastal', 0.12279782087051813)"
1,,,,"('level', 0.06469858555034488)"
2,,,,"('community', 0.05858674872835582)"
3,,,,"('sea', 0.04893317299679267)"
4,,,,"('rise', 0.042107193151195495)"
5,,,,"('impact', 0.040343051117968126)"
6,,,,"('risk', 0.0385533017286397)"
7,,,,"('area', 0.036736411749704455)"
8,,,,"('vulnerability', 0.03489065590185612)"
9,,,,"('policy', 0.03489065590185612)"
