,Topic,Count,Name,-1,0,1
0,-1.0,16.0,-1_model_energy_thermal_nac,"('model', 0.0409107380231886)","('water', 0.0451184024112968)","('urban', 0.0865281453912738)"
1,0.0,12.0,0_water_blue_action_forest,"('energy', 0.03456119122338904)","('blue', 0.03803819956012231)","('heat', 0.07751043377007481)"
2,1.0,12.0,1_urban_heat_green_space,"('thermal', 0.034255889421008316)","('action', 0.03656059489016539)","('green', 0.06738126275508324)"
3,,,,"('nac', 0.03149530412296452)","('forest', 0.03378306341346907)","('space', 0.06213254369606825)"
4,,,,"('time', 0.030986134089476994)","('impact', 0.02947108335714064)","('effect', 0.056489533089180796)"
5,,,,"('fire', 0.030986134089476994)","('city', 0.02843437946797484)","('water', 0.04038665034506239)"
6,,,,"('building', 0.0307482541786919)","('system', 0.02843437946797484)","('result', 0.04024989514219418)"
7,,,,"('temperature', 0.028303609808224963)","('policy', 0.02764068824738378)","('temperature', 0.03954267316242656)"
8,,,,"('comfort', 0.0262460867691371)","('urban', 0.02755825941247717)","('thermal', 0.03888506366709051)"
9,,,,"('factor', 0.025821778407897497)","('ml', 0.027438864861533983)","('area', 0.03704036796815395)"
