,Topic,Count,Name,-1,0,1
0,-1.0,31.0,-1_coastal_policy_level_community,"('coastal', 0.04730931149077035)","('risk', 0.05082340933477603)","('coastal', 0.10153990695528689)"
1,0.0,22.0,0_risk_community_coastal_social,"('policy', 0.04305013896917072)","('community', 0.0492449063738424)","('planning', 0.05280756949539426)"
2,1.0,12.0,1_coastal_planning_port_management,"('level', 0.034903900719294806)","('coastal', 0.04395380108073077)","('port', 0.050709794915364426)"
3,,,,"('community', 0.030675029307010368)","('social', 0.038580277472298655)","('management', 0.04095020364207912)"
4,,,,"('sea', 0.027107420365094993)","('measure', 0.03429357997537658)","('level', 0.040173764353812834)"
5,,,,"('future', 0.024488751234603902)","('hurricane', 0.033062606840370455)","('in', 0.039532138199873765)"
6,,,,"('decision', 0.021765995944656568)","('management', 0.030725420271257395)","('policy', 0.037810636303932166)"
7,,,,"('scenario', 0.021483446412731907)","('hazard', 0.02718790980201085)","('economic', 0.03597753883745653)"
8,,,,"('marine', 0.021173922675944805)","('based', 0.027149084147173128)","('sea', 0.035490176489801906)"
9,,,,"('impact', 0.02103482272065034)","('knowledge', 0.02608693985083584)","('zone', 0.035022107502617666)"
