,Topic,Count,Name,-1,0,1,2
0,-1.0,70.0,-1_water_flood_impact_river,"('water', 0.041927781107714765)","('water', 0.12688455025321146)","('coastal', 0.075639094984299)","('river', 0.04854772792598793)"
1,0.0,43.0,0_water_resource_management_impact,"('flood', 0.03282434981194586)","('resource', 0.042146521681169)","('community', 0.03584163346690247)","('ecosystem', 0.04360251233686858)"
2,1.0,28.0,1_coastal_community_strategy_level,"('impact', 0.02627439524186303)","('management', 0.029646288482403204)","('strategy', 0.03378152061589042)","('restoration', 0.03786024332578365)"
3,2.0,19.0,2_river_ecosystem_restoration_water,"('river', 0.024504181277266047)","('impact', 0.028428361722614235)","('level', 0.030695315199724325)","('water', 0.037729138971613535)"
4,,,,"('change', 0.022752034400920912)","('demand', 0.027334558343834598)","('mangrove', 0.030032105731725017)","('freshwater', 0.031006854942607954)"
5,,,,"('area', 0.021721327554056265)","('groundwater', 0.026028066911420823)","('sea', 0.028924725593510454)","('effect', 0.030391472347170205)"
6,,,,"('management', 0.02097980157324729)","('future', 0.023799646190918324)","('habitat', 0.0281373305227569)","('flood', 0.027985406041219064)"
7,,,,"('risk', 0.020883183811348703)","('scenario', 0.023674235142792842)","('ecosystem', 0.02801586712219487)","('drought', 0.027223263352773593)"
8,,,,"('basin', 0.01993512077783064)","('model', 0.023358043119056256)","('migration', 0.026202065665726342)","('change', 0.027139488021222746)"
9,,,,"('strategy', 0.018201627520736733)","('use', 0.022480089006000216)","('rise', 0.02410971013179896)","('human', 0.026769161083242548)"
