,Topic,Count,Name,-1,0,1,2
0,-1.0,37.0,-1_temperature_energy_demand_degree,"('temperature', 0.039531297373422286)","('precipitation', 0.0477169587141141)","('warming', 0.0934232329441144)","('exposure', 0.08349372574858552)"
1,0.0,40.0,0_precipitation_extreme_rainfall_increase,"('energy', 0.03091765226603556)","('extreme', 0.04054072480358964)","('model', 0.08754154718658838)","('population', 0.08187803330180982)"
2,1.0,16.0,1_warming_model_global_temperature,"('demand', 0.03006801684732889)","('rainfall', 0.03823175933631651)","('global', 0.08182478190376717)","('heat', 0.07645636901540502)"
3,2.0,11.0,2_exposure_population_heat_extreme,"('degree', 0.025283170063890678)","('increase', 0.037038835135455236)","('temperature', 0.07752085097078593)","('extreme', 0.06308638764187124)"
4,,,,"('increase', 0.024967526343058155)","('future', 0.034203318949514824)","('projection', 0.06663854188151115)","('temperature', 0.05211916043409976)"
5,,,,"('region', 0.02457560716996859)","('day', 0.0305957891428625)","('trend', 0.0652012370464861)","('effect', 0.05177607428670952)"
6,,,,"('summer', 0.02352604115611336)","('change', 0.02956669516347324)","('degree', 0.05398741781946628)","('urban', 0.04985397522437017)"
7,,,,"('extreme', 0.022785576536484196)","('trend', 0.024979590638599964)","('increase', 0.05035156378359086)","('change', 0.03990614580411266)"
8,,,,"('year', 0.021322227957555114)","('event', 0.024680217231729275)","('africa', 0.0492905165694458)","('risk', 0.03759685114885389)"
9,,,,"('model', 0.020954075776712613)","('data', 0.023309094052188763)","('observed', 0.04458649393487138)","('region', 0.03663823824904728)"
