,Topic,Count,Name,-1,0,1,2,3
0,-1.0,88.0,-1_risk_policy_vulnerability_mitigation,"('risk', 0.03793470948445404)","('water', 0.04506540444336938)","('social', 0.05210043833400618)","('disaster', 0.04534071416867432)","('coastal', 0.08950716480671926)"
1,0.0,31.0,0_water_impact_energy_model,"('policy', 0.03201751803316706)","('impact', 0.044081098749947895)","('development', 0.04726720180051308)","('drr', 0.041819358134130576)","('planning', 0.05556021259150512)"
2,1.0,27.0,1_social_development_capacity_adaptive,"('vulnerability', 0.021227074387748304)","('energy', 0.04082394349596699)","('capacity', 0.04672574692455726)","('cca', 0.036447194992134835)","('island', 0.05367098134987473)"
3,2.0,21.0,2_disaster_drr_cca_local,"('mitigation', 0.019620751525195497)","('model', 0.035112757638902106)","('adaptive', 0.03571721847428451)","('local', 0.03398418258234379)","('policy', 0.04716786906545752)"
4,3.0,11.0,3_coastal_planning_island_policy,"('development', 0.017839719329802915)","('environmental', 0.03427590400256901)","('vulnerability', 0.030614576603533828)","('risk', 0.03204642306998481)","('management', 0.04026065230910289)"
5,,,,"('result', 0.017145720613677334)","('country', 0.03054047639633221)","('household', 0.025431261409572466)","('impact', 0.028613450071839935)","('case', 0.03556591334835033)"
6,,,,"('public', 0.016772414194734426)","('global', 0.027268017128714146)","('intervention', 0.024885144266887958)","('approach', 0.02822619524079757)","('hazard', 0.03518976584437326)"
7,,,,"('model', 0.01662625431586687)","('policy', 0.025834754364575184)","('strategy', 0.02485412318334673)","('challenge', 0.02808188138535977)","('dauphin', 0.033985177646579955)"
8,,,,"('strategy', 0.016553845754356627)","('future', 0.024855123802594265)","('justice', 0.024676077934622676)","('result', 0.027205358479961507)","('flood', 0.033550526505799615)"
9,,,,"('impact', 0.01646504699467352)","('emission', 0.024723246746728048)","('livelihood', 0.024109671168361466)","('bangladesh', 0.02564447295828439)","('decision', 0.03330549920634802)"
