,Topic,Count,Name,-1,0,1
0,-1.0,47.0,-1_policy_local_community_strategy,"('policy', 0.03126697168892993)","('tourism', 0.06222783592141352)","('science', 0.03568659780792599)"
1,0.0,21.0,0_tourism_action_policy_city,"('local', 0.028992085968851583)","('action', 0.04693335298580465)","('conference', 0.03490185662848338)"
2,1.0,14.0,1_science_conference_nature_solution,"('community', 0.02822351605909226)","('policy', 0.0430898603683119)","('nature', 0.03261102540038179)"
3,,,,"('strategy', 0.027561338702533595)","('city', 0.03196559037088998)","('solution', 0.031891720949253306)"
4,,,,"('management', 0.026819120132892577)","('energy', 0.031106628683702828)","('participatory', 0.030115622623083278)"
5,,,,"('development', 0.024007279158450745)","('local', 0.029221137309514377)","('sustainability', 0.029712896985977424)"
6,,,,"('project', 0.02324850769410968)","('measure', 0.028069888667663682)","('challenge', 0.029649313606969655)"
7,,,,"('new', 0.023001605740767306)","('sector', 0.026991462074493024)","('issue', 0.029419506274041652)"
8,,,,"('resilience', 0.02215035491818263)","('com', 0.026818787827537126)","('urban', 0.02853319068127987)"
9,,,,"('result', 0.021297536576120577)","('in', 0.026219564910298823)","('way', 0.027512033276647623)"
